attempt,mine_num,floor_num,no rock,empty rock,junk ore,copper,silver,gold,mystrile,pink diamond,alexandrite,moon stone,sand rose,diamond,emerald,ruby,topaz,peridot,fluorite,agate,amethyst,spring sun,summer sun,fall sun,winter sun,mythic stone,adamantite,orichalc,blue wonderful,green wonderful,red wonderful,yellow wonderful,orange wonderful,purple wonderful,indigo wonderful,black wonderful,white wonderful,empty tile,down stairs,covered hole,money bag,black grass,tiled square,unearthed hole,staircase up,staircase down,lithograph,cursed tool,cursed accessory,bronze coin,silver coin,gold coin
0,2,1,858,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,20,1,27,5,0,0,0,0,0,0,0,0,0,0
1,2,1,858,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,20,1,27,5,0,0,0,0,0,0,0,0,0,0
2,2,1,856,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,23,2,29,4,0,0,0,0,0,0,0,0,0,0
3,2,1,855,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,23,1,30,6,0,0,0,0,0,0,0,0,0,0
4,2,1,858,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,811,23,2,29,4,0,0,0,0,0,0,0,0,0,0
5,2,1,857,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,23,1,30,6,0,0,0,0,0,0,0,0,0,0
6,2,1,855,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,22,1,22,6,0,0,0,0,0,0,0,0,0,0
7,2,1,857,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,24,3,20,6,0,0,0,0,0,0,0,0,0,0
8,2,1,858,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,24,3,20,6,0,0,0,0,0,0,0,0,0,0
9,2,1,858,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,22,1,22,6,0,0,0,0,0,0,0,0,0,0
10,2,1,856,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,21,4,24,4,0,0,0,0,0,0,0,0,0,0
11,2,1,857,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,21,4,24,4,0,0,0,0,0,0,0,0,0,0
12,2,1,858,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,21,4,24,4,0,0,0,0,0,0,0,0,0,0
13,2,1,855,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,24,1,20,4,0,0,0,0,0,0,0,0,0,0
14,2,1,855,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,20,3,28,6,0,0,0,0,0,0,0,0,0,0
15,2,1,855,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,21,3,24,6,0,0,0,0,0,0,0,0,0,0
16,2,1,858,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,24,1,20,4,0,0,0,0,0,0,0,0,0,0
17,2,1,858,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,20,3,28,6,0,0,0,0,0,0,0,0,0,0
18,2,1,857,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,25,2,30,5,0,0,0,0,0,0,0,0,0,0
19,2,1,856,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812,25,4,23,5,0,0,0,0,0,0,0,0,0,0
20,2,1,855,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,23,4,23,5,0,0,0,0,0,0,0,0,0,0
21,2,1,855,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,0,0,0,0,0,0,0,0
22,2,1,855,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,25,3,30,5,0,0,0,0,0,0,0,0,0,0
23,2,1,857,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,0,0,0,0,0,0,0,0
24,2,1,858,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,21,4,20,4,0,0,0,0,0,0,0,0,0,0
25,2,1,858,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,25,3,30,5,0,0,0,0,0,0,0,0,0,0
26,2,1,859,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,25,4,22,5,0,0,0,0,0,0,0,0,0,0
27,2,1,856,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,22,4,22,5,0,0,0,0,0,0,0,0,0,0
28,2,1,856,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,23,2,25,5,0,0,0,0,0,0,0,0,0,0
29,2,1,855,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,22,2,25,5,0,0,0,0,0,0,0,0,0,0
30,2,1,857,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,23,2,25,5,0,0,0,0,0,0,0,0,0,0
31,2,1,857,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,816,20,3,25,5,0,0,0,0,0,0,0,0,0,0
32,2,1,856,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814,24,4,23,4,0,0,0,0,0,0,0,0,0,0
33,2,1,858,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,25,4,23,4,0,0,0,0,0,0,0,0,0,0
34,2,1,859,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813,25,4,23,4,0,0,0,0,0,0,0,0,0,0
35,2,1,857,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807,23,4,29,6,0,0,0,0,0,0,0,0,0,0
36,2,1,859,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,21,2,22,5,0,0,0,0,0,0,0,0,0,0
37,2,1,856,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,20,4,23,4,0,0,0,0,0,0,0,0,0,0
38,2,1,857,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818,20,4,23,4,0,0,0,0,0,0,0,0,0,0
